x,mean_γ,std_γ
0.0,0.8340853020796414,0.00558186972600419
0.01,0.8353919825930228,0.005999300037158992
0.02,0.8400476432766109,0.006010541265648845
0.03,0.8471852549448121,0.005868584818450322
0.04,0.8574262524833546,0.005768803496583812
0.05,0.870729955886882,0.0059976718846916416
0.06,0.8866708749683289,0.005938332748411895
0.07,0.906200542952292,0.006217639390070551
0.08,0.9287044453526536,0.00645021704835186
